energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1770.228,0.009,6.87,0.03,,2339.935,0.0000000001305,569.6988,M1+E2,0.087,5,0.0041,,83,124,Bi,,0,,9/2-,31.55,,4,Y,995621014.4983776,1262277.03898368,EC+B+,100,,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
511,,0.076,,,,,,,,,,,83,124,Bi,,0,,9/2-,31.55,,4,Y,995621014.4983776,1262277.03898368,EC+B+,100,,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
12.522,,33.18940489011642,1.3315082493568324,,,,,,,,,,83,124,Bi,,0,,9/2-,31.55,,4,Y,995621014.4983776,1262277.03898368,EC+B+,100,,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
12.904,,16.3,1.3,,,,,,,,,,83,124,Bi,,2101.61,0.16,21/2+,182,,6,us,0.000182,0.000006,IT,100,,,,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
72.805,,21.710873162133087,0.21860396795846207,,,,,,,,,,83,124,Bi,,0,,9/2-,31.55,,4,Y,995621014.4983776,1262277.03898368,EC+B+,100,,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
74.815,,11.2,1,,,,,,,,,,83,124,Bi,,2101.61,0.16,21/2+,182,,6,us,0.000182,0.000006,IT,100,,,,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
74.97,,36.48886245736653,0.33388411869875506,,,,,,,,,,83,124,Bi,,0,,9/2-,31.55,,4,Y,995621014.4983776,1262277.03898368,EC+B+,100,,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
77.108,,18.8,1.6,,,,,,,,,,83,124,Bi,,2101.61,0.16,21/2+,182,,6,us,0.000182,0.000006,IT,100,,,,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
84.986,,12.471371918464202,0.2165735467330626,,,,,,,,,,83,124,Bi,,0,,9/2-,31.55,,4,Y,995621014.4983776,1262277.03898368,EC+B+,100,,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
86.022,,16.23772623784039,0.27499753078602185,,,,,,,,,,83,124,Bi,,0,,9/2-,31.55,,4,Y,995621014.4983776,1262277.03898368,EC+B+,100,,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
87.301,,3.766354319376189,0.09036713771611274,,,,,,,,,,83,124,Bi,,0,,9/2-,31.55,,4,Y,995621014.4983776,1262277.03898368,EC+B+,100,,2397.4,27,82,125,Pb,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
87.388,,6.4,0.6,,,,,,,,,,83,124,Bi,,2101.61,0.16,21/2+,182,,6,us,0.000182,0.000006,IT,100,,,,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
88.458,,8.4,0.7,,,,,,,,,,83,124,Bi,,2101.61,0.16,21/2+,182,,6,us,0.000182,0.000006,IT,100,,,,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01
89.784,,1.97,0.17,,,,,,,,,,83,124,Bi,,2101.61,0.16,21/2+,182,,6,us,0.000182,0.000006,IT,100,,,,83,124,Bi,1-Aug-2010,F.G. KONDEV and  S. LALKOVSKI,2026-06-01

