energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
2.737,,4.2034433532,,,,,,,,,,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
2.892,,4.170564389751258,,,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
19.15,,16.394574310074397,,,,,,,,,,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
19.279,,31.10924916522656,,,,,,,,,,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
20.073,,2.5773737361456392,,,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
20.215,,4.879541340677091,,,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
21.736,,8.36018235860503,,,,,,,,,,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
21.875,,9.714531900699045,,,,,,,,,,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
22.072,,1.3543495420940148,,,,,,,,,,,44,59,Ru,,238.2,0.7,11/2-,1.69,,7,ms,0.00169,0.00007,IT,100,,,,44,59,Ru,1-Mar-2009,D. DE FRENNE,2026-06-07
22.806,,1.3251053206841077,,,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
22.957,,1.5450728039176695,,,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07
23.17,,0.21996748323356188,,,,,,,,,,,44,59,Ru,,0,,3/2+,39.247,,13,d,3390940.8,1123.2,B-,100,,764.5,23,45,58,Rh,1-Mar-2009,D. DE FRENNE,2026-06-07

